amenity_id,station_id,type,icon,map_id
6,7188,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,13351
2,7304,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13260
2,7321,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13247
2,7360,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13272
2,7374,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13242
2,7401,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13253
2,7460,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13261
2,7487,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13269
2,7542,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13278
2,7576,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13284
2,7718,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13281
2,7724,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13286
2,7725,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13276
1,7731,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11975
2,7731,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11976
6,7731,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,11977
1,7738,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11978
2,7738,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11979
6,7738,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,11980
1,7813,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11982
2,7813,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11983
3,7813,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,11984
4,7813,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,11985
5,7813,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,11986
6,7813,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,11987
1,7815,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11988
1,7872,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12002
2,7872,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,12003
3,7872,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,12004
4,7872,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,12005
1,7902,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12006
1,7906,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12009
2,7906,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,12010
3,7906,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,12011
6,7906,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,12012
5,7906,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,12013
1,7907,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12014
1,7908,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12015
2,7908,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,12016
3,7908,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,12017
6,7908,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,12018
1,7909,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12019
2,7909,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,12020
3,7909,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,12021
6,7909,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,12022
5,7909,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,12023
1,7928,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12024
1,7929,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12025
2,7929,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,12026
6,7929,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,12027
3,7929,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,12028
2,8036,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,12029
1,8036,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12030
6,8036,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,12031
5,8036,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,12032
4,8037,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,12033
1,8110,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12034
1,8111,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12035
2,8116,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13252
1,8126,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12040
1,8128,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12041
1,8131,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12042
1,8133,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,12044
