charger_id,station_id,charger_name,type,power_rating_kw,price,currency,symbol,price_display,last_used_on,connector_count,available_connector_count
68375,11730,CJK Pamposh 3,AC,3.0,15.0,INR,₹,₹ 15.0,,1,1
62615,11731,CJK Shyam Lal College 1,AC,9.0,15.0,INR,₹,₹ 15.0,12/05/2026,3,3
62630,11731,CJK Shyam Lal College 2,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,3
62642,11731,CJK Shyam Lal College 3,AC,9.0,15.0,INR,₹,₹ 15.0,13/03/2026,3,0
62616,11732,CJK Asiad Village 1,AC,9.0,15.0,INR,₹,₹ 15.0,,3,0
62629,11732,CJK Asiad Village 2,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
64456,11732,CJK Asiad Village 3,AC,7.0,15.0,INR,₹,₹ 15.0,,1,1
64457,11732,CJK Asiad Village 4,AC,3.0,15.0,INR,₹,₹ 15.0,02/04/2026,1,1
62617,11733,CJK Sangam T Point 1,AC,9.0,15.0,INR,₹,₹ 15.0,08/04/2026,3,3
62622,11733,CJK Sangam T Point 2,AC,3.0,15.0,INR,₹,₹ 15.0,,1,0
64466,11733,CJK Sangam T Point 3,AC,7.0,15.0,INR,₹,₹ 15.0,23/04/2026,1,1
62620,11734,CJK Palika Place Parking Area 1,AC,9.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,3
62634,11734,CJK Palika Place Parking Area 2,AC,9.0,15.0,INR,₹,₹ 15.0,12/05/2026,3,3
62618,11735,CJK Masjid moth 1,AC,9.0,15.0,INR,₹,₹ 15.0,,3,0
62625,11735,CJK Masjid moth 2,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
64467,11735,CJK Masjid moth 3,AC,3.0,15.0,INR,₹,₹ 15.0,,1,0
67517,11735,CJK Masjid moth 4,AC,3.0,15.0,INR,₹,₹ 15.0,,1,0
68226,11735,CJK Masjid moth 5,AC,3.0,15.0,INR,₹,₹ 15.0,,1,0
62623,11736,CJK Rk Puram 1,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
62638,11736,CJK Rk Puram 2,AC,9.0,15.0,INR,₹,₹ 15.0,14/05/2026,3,2
