station_id,connector_type_id,connector_name,connector_image_url
10742,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10743,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10744,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10747,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10749,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10749,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10750,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10751,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10752,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10753,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10754,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10755,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10756,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10757,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10758,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10760,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10761,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10762,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10763,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10765,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10766,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10767,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10768,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10769,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10771,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10772,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10772,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10773,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10774,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10775,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10776,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10777,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10778,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10780,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10781,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10783,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10784,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10785,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10786,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10787,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
