connector_id,charger_id,station_id,display_id,connector_type,connector_type_id,availability,connector_status,error_message,connector_image
13886,55537,7698,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13887,55537,7698,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
32321,67707,7698,1,Wall,5,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
32322,67707,7698,2,Wall,5,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
32323,67707,7698,3,Wall,5,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
13888,55538,7699,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13889,55538,7699,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
33232,68233,7699,1,Type-2,3,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
33233,68233,7699,2,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
33234,68233,7699,3,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
13890,55539,7700,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13891,55539,7700,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
32318,67706,7700,1,Type-2,3,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
32319,67706,7700,2,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
32320,67706,7700,3,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
13892,55540,7701,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13893,55540,7701,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
32324,67708,7701,1,Type-2,3,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
32325,67708,7701,2,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
32326,67708,7701,3,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
13894,55541,7702,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13895,55541,7702,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13896,55542,7703,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13897,55542,7703,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13898,55543,7704,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13899,55543,7704,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
32611,67871,7704,1,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
32612,67871,7704,2,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
32613,67871,7704,3,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
13900,55544,7705,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13901,55544,7705,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13902,55545,7706,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13903,55545,7706,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
30661,66366,7706,1,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
30662,66366,7706,2,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
30663,66366,7706,3,Wall,5,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
13905,55546,7707,1,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13906,55546,7707,2,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13908,55548,7708,1,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13910,55550,7709,1,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13911,55551,7709,1,GBT,6,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/dc-001.png
13912,55551,7709,2,GBT,6,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/dc-001.png
13909,55549,7709,1,Type-2,3,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
13913,55552,7710,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13914,55552,7710,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13915,55553,7710,1,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13916,55553,7710,2,CCS-2,1,True,available,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13917,55554,7710,1,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13918,55554,7710,2,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13919,55555,7711,1,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
13920,55555,7711,2,CCS-2,1,False,faulted,Faulted,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
